year, month, day, hour, minute, second, lon, lat, depth, mag
1845, 7, 5, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
1845, 7, 15, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
1845, 7, 25, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
1845, 7, 26, 17, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1845, 9, 5, 0, 0, 0.000, 176.0000, -38.0000, 25.00, 4.500
1845, 9, 13, 9, 0, 0.000, 174.0000, -39.0000, 25.00, 4.500
1845, 10, 20, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1845, 10, 21, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1845, 10, 23, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1845, 11, 6, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
1845, 11, 7, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1845, 11, 17, 0, 0, 0.000, 176.0000, -38.0000, 25.00, 4.500
1845, 11, 20, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1845, 12, 17, 22, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1846, 1, 30, 10, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1846, 2, 10, 11, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1846, 4, 8, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1846, 4, 8, 14, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1846, 4, 8, 23, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1846, 5, 7, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 5.500
1846, 5, 13, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1846, 6, 8, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1846, 6, 13, 0, 0, 0.000, 176.0000, -38.0000, 25.00, 4.500
1846, 6, 30, 10, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1846, 6, 30, 21, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1846, 7, 2, 3, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1846, 7, 3, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
