year, month, day, hour, minute, second, lon, lat, depth, mag
1943, 7, 5, 19, 42, 20.000, 175.9600, -37.3100, 400.00, 3.670
1943, 7, 11, 2, 13, 38.000, 176.9600, -38.2000, 209.00, 5.272
1943, 8, 2, 19, 9, 52.000, 173.3100, -40.7300, 161.00, 4.494
1943, 10, 29, 17, 34, 34.000, 175.6000, -39.4500, 134.00, 3.793
1943, 11, 5, 18, 44, 58.000, 175.8100, -38.7900, 154.00, 4.766
1943, 11, 20, 17, 1, 53.000, 175.2100, -39.4100, 113.00, 3.894
1943, 11, 28, 4, 37, 7.000, 174.3800, -40.2800, 68.00, 4.052
1944, 1, 5, 18, 15, 8.000, 178.5400, -38.1700, 117.00, 3.834
1944, 2, 7, 17, 46, 25.000, 173.6700, -41.1300, 108.00, 4.977
1944, 2, 15, 0, 38, 12.000, 176.3300, -38.5500, 180.00, 4.194
1944, 3, 30, 9, 55, 24.000, 177.0000, -37.9900, 235.00, 4.267
1944, 4, 3, 15, 59, 17.000, 175.9200, -38.1000, 213.00, 4.727
1944, 5, 20, 18, 39, 39.000, 174.0000, -40.1900, 165.00, 3.618
1944, 5, 21, 12, 13, 41.000, 176.6500, -38.1700, 213.00, 4.625
1944, 6, 7, 17, 15, 15.000, 174.5600, -39.8100, 108.00, 3.855
1944, 6, 16, 6, 39, 38.000, 173.7200, -41.4300, 100.00, 3.160
1944, 6, 28, 13, 14, 5.000, 175.3700, -39.2500, 226.00, 5.506
1944, 7, 27, 13, 53, 27.000, 175.8700, -37.9000, 125.00, 4.478
1944, 8, 6, 5, 54, 53.000, 176.8600, -38.9800, 66.00, 3.955
1944, 8, 13, 10, 53, 40.000, 177.3800, -37.0400, 251.00, 5.173
1944, 8, 19, 15, 30, 49.000, 172.9200, -40.3900, 135.00, 4.301
1944, 9, 2, 19, 52, 45.000, 177.5100, -37.3600, 322.00, 4.417
1944, 9, 3, 6, 45, 33.000, 176.0500, -38.9400, 120.00, 4.031
1944, 9, 23, 1, 26, 33.000, 176.2400, -38.9600, 140.00, 3.881
1944, 9, 25, 1, 0, 30.000, 174.5100, -39.9000, 113.00, 4.302
1944, 10, 7, 10, 12, 7.000, 177.6500, -36.0500, 198.00, 4.865
1944, 10, 10, 10, 34, 11.000, 176.8200, -38.4000, 180.00, 4.143
1944, 10, 26, 21, 29, 36.000, 175.6900, -38.9500, 163.00, 4.285
1944, 11, 13, 0, 30, 20.000, 176.9100, -38.4700, 204.00, 4.035
1944, 11, 27, 20, 44, 12.000, 174.9900, -39.7600, 99.00, 4.132
1945, 1, 18, 18, 1, 17.000, 173.3800, -40.4400, 205.00, 4.338
1945, 2, 24, 7, 32, 4.000, 174.4100, -40.0700, 129.00, 3.601
1945, 2, 25, 17, 11, 54.000, 174.0700, -39.8700, 214.00, 3.603
1945, 3, 18, 9, 2, 15.000, 173.5800, -40.3200, 184.00, 3.572
1945, 7, 2, 0, 7, 1.000, 174.9800, -39.3200, 205.00, 3.981
1945, 10, 5, 14, 56, 15.000, 176.1600, -38.7500, 180.00, 5.013
1945, 10, 14, 12, 6, 33.000, 173.9900, -40.4900, 75.00, 3.832
1945, 10, 23, 12, 58, 31.000, 178.4700, -37.7400, 151.00, 4.467
1945, 12, 28, 6, 31, 49.000, 173.1700, -40.9400, 107.00, 3.348
1945, 12, 30, 7, 7, 22.000, 177.1200, -37.8700, 265.00, 4.866
1946, 2, 12, 6, 16, 39.000, 175.0200, -39.7700, 132.00, 5.511
1946, 2, 26, 5, 30, 47.000, 176.9800, -38.5500, 103.00, 5.197
1946, 4, 22, 18, 19, 43.000, 176.1500, -38.8400, 124.00, 4.786
1946, 5, 13, 16, 35, 45.000, 173.7400, -40.4300, 167.00, 4.429
1946, 7, 8, 14, 36, 15.000, 175.8900, -38.0900, 175.00, 4.716
1946, 8, 14, 15, 53, 20.000, 176.4400, -38.3000, 238.00, 4.464
1946, 8, 18, 17, 40, 23.000, 177.1200, -37.8500, 279.00, 4.213
1946, 9, 6, 11, 48, 36.000, 174.7400, -40.8400, 83.00, 3.711
