year, month, day, lon, lat, dep, mag, isslab
1851, 9, 7, 174.5000, -41.0000, 25.0000, 5.500, 0
1851, 9, 26, 175.0000, -41.0000, 25.0000, 5.500, 0
1851, 10, 5, 173.0000, -41.0000, 25.0000, 4.500, 0
1851, 10, 9, 175.0000, -40.0000, 25.0000, 4.500, 0
1852, 2, 25, 175.0000, -40.0000, 25.0000, 4.500, 0
1852, 3, 23, 174.0000, -39.0000, 25.0000, 5.500, 0
1852, 3, 31, 178.0000, -39.0000, 25.0000, 4.500, 1
1852, 3, 31, 175.0000, -40.0000, 25.0000, 4.500, 0
1852, 6, 10, 177.0000, -40.0000, 25.0000, 4.500, 1
1852, 9, 29, 175.0000, -41.0000, 25.0000, 4.500, 0
1853, 1, 1, 174.0000, -39.0000, 25.0000, 6.800, 0
1853, 2, 28, 173.0000, -41.0000, 25.0000, 4.500, 0
1853, 4, 1, 175.0000, -41.0000, 25.0000, 4.500, 0
1853, 5, 5, 173.0000, -41.0000, 25.0000, 4.500, 0
1853, 5, 7, 174.0000, -41.0000, 25.0000, 4.500, 0
1853, 5, 8, 175.0000, -41.0000, 25.0000, 4.500, 0
1853, 6, 4, 174.0000, -40.0000, 25.0000, 5.500, 0
1853, 6, 7, 174.0000, -40.0000, 25.0000, 5.500, 0
1853, 9, 1, 175.0000, -41.0000, 25.0000, 4.500, 0
1853, 10, 18, 175.0000, -41.0000, 25.0000, 4.500, 0
1853, 12, 18, 175.0000, -40.0000, 25.0000, 5.500, 0
1854, 1, 29, 175.0000, -41.0000, 25.0000, 4.500, 0
1854, 3, 21, 175.0000, -41.0000, 25.0000, 4.500, 0
1854, 5, 3, 174.0000, -41.0000, 25.0000, 5.500, 0
1854, 7, 20, 175.0000, -41.0000, 25.0000, 4.500, 0
1854, 9, 14, 175.0000, -41.0000, 25.0000, 4.500, 0
1855, 1, 23, 175.2000, -41.2000, 33.0000, 8.250, 1
1855, 2, 9, 175.0000, -41.4000, 25.0000, 6.000, 0
1855, 10, 21, 174.0000, -39.0000, 25.0000, 5.500, 0
1863, 2, 22, 176.5000, -40.0000, 25.0000, 7.500, 0
1868, 10, 18, 173.0000, -40.2000, 12.0000, 7.400, 0
1868, 10, 26, 174.0000, -39.0000, 25.0000, 6.000, 0
1875, 9, 14, 178.0000, -39.0000, 25.0000, 5.800, 1
1881, 6, 25, 175.6000, -40.4000, 33.0000, 6.700, 0
1891, 3, 9, 174.0000, -41.5000, 25.0000, 5.500, 0
1891, 6, 23, 174.4000, -37.4000, 12.0000, 6.200, 0
1891, 7, 5, 175.0000, -41.0000, 25.0000, 5.500, 0
1892, 10, 11, 176.5000, -40.4000, 33.0000, 5.700, 1
1894, 5, 20, 175.0000, -41.0000, 25.0000, 6.000, 0
1895, 8, 18, 176.0000, -38.8000, 12.0000, 6.000, 0
1897, 12, 7, 175.0000, -40.0000, 40.0000, 6.500, 0
1903, 8, 1, 176.9000, -39.6000, 12.0000, 5.200, 0
1904, 8, 8, 176.4000, -40.4000, 16.0000, 7.100, 0
1907, 3, 6, 174.0000, -42.0000, 25.0000, 5.500, 0
1911, 10, 5, 176.9000, -39.6000, 33.0000, 5.600, 1
1912, 5, 26, 175.0000, -38.0000, 12.0000, 5.700, 0
1913, 2, 22, 171.6000, -41.8000, 12.0000, 5.300, 0
1913, 4, 12, 175.7000, -41.0000, 12.0000, 5.600, 0
1914, 10, 6, 178.2000, -37.8000, 12.0000, 6.600, 0
1914, 10, 28, 178.2000, -37.8000, 12.0000, 6.400, 0
1917, 8, 5, 176.0000, -40.8000, 20.0000, 6.850, 0
1918, 2, 19, 174.0000, -41.5000, 25.0000, 5.500, 0
1918, 11, 3, 165.0000, -47.0000, 8.0000, 6.700, 0
1921, 4, 2, 177.5000, -39.0000, 25.0000, 5.500, 0
1921, 7, 20, 177.0000, -39.5000, 25.0000, 5.500, 0
1921, 9, 6, 178.0000, -38.0000, 25.0000, 5.010, 0
1922, 6, 8, 176.0300, -38.6000, 5.0000, 4.500, 0
1922, 6, 18, 176.0000, -39.0000, 25.0000, 6.000, 0
1922, 8, 16, 174.0000, -42.0000, 25.0000, 5.500, 0
1925, 11, 27, 174.0000, -42.0000, 25.0000, 5.500, 0
1925, 12, 9, 173.0000, -41.0000, 25.0000, 5.500, 0
1926, 1, 4, 174.8000, -41.3000, 33.0000, 4.900, 0
1926, 3, 18, 175.0000, -41.0000, 25.0000, 5.500, 0
1926, 11, 11, 175.5500, -37.6500, 5.0000, 4.600, 0
1927, 5, 18, 173.0000, -41.0000, 25.0000, 5.500, 0
1927, 5, 20, 178.0000, -38.0000, 25.0000, 5.500, 0
1927, 10, 15, 174.0000, -39.0000, 25.0000, 5.500, 0
1927, 11, 7, 175.5000, -37.5000, 25.0000, 5.500, 0
1928, 3, 6, 174.1300, -39.0000, 12.0000, 5.400, 0
1929, 5, 7, 175.5000, -40.1000, 12.0000, 5.500, 0
1929, 5, 29, 176.0000, -40.0000, 25.0000, 5.500, 0
1929, 6, 16, 172.2000, -41.7000, 9.0000, 7.500, 0
1929, 6, 22, 172.3200, -41.7800, 14.0000, 6.500, 0
1930, 2, 12, 176.5500, -40.4000, 33.0000, 6.200, 1
1930, 4, 27, 173.0000, -41.0000, 25.0000, 5.500, 0
1930, 9, 22, 180.2330, -35.6800, 35.0000, 6.370, 1
1930, 9, 25, 180.4040, -35.3230, 35.0000, 6.220, 1
1930, 11, 9, 173.0000, -41.0000, 25.0000, 5.500, 0
1931, 2, 2, 177.0000, -39.3000, 15.0000, 7.600, 0
1931, 2, 13, 177.5000, -39.5000, 16.0000, 7.400, 0
1931, 4, 21, 177.0000, -40.0000, 25.0000, 6.460, 1
1931, 7, 19, 176.0000, -41.0000, 25.0000, 5.500, 1
1931, 7, 24, 173.0000, -41.0000, 25.0000, 5.500, 0
1932, 3, 5, 178.0000, -36.5000, 30.0000, 5.990, 0
1932, 7, 20, 174.0128, -40.1783, 33.0000, 6.112, 0
1933, 7, 25, 173.0000, -41.0000, 25.0000, 4.500, 0
1934, 3, 5, 176.2900, -40.5500, 12.0000, 7.300, 0
1934, 3, 10, 176.6800, -40.5900, 12.0000, 5.346, 0
1934, 3, 15, 177.2290, -39.3138, 25.0000, 6.300, 0
1934, 3, 23, 177.4000, -39.4000, 12.0000, 4.425, 0
1935, 7, 15, 176.0000, -39.0000, 25.0000, 5.500, 0
1937, 6, 3, 175.8000, -37.0000, 25.0000, 5.500, 0
1938, 1, 18, 176.0000, -40.0000, 25.0000, 5.500, 0
1938, 2, 13, 179.4680, -35.9320, 35.0000, 6.640, 0
1938, 12, 15, 176.5500, -40.0800, 25.0000, 5.610, 0
1939, 2, 23, 177.0000, -38.0000, 25.0000, 5.500, 0
1939, 4, 20, 167.5000, -46.5000, 25.0000, 6.050, 0
1940, 1, 4, 174.5000, -41.0000, 25.0000, 4.500, 0
1940, 1, 6, 175.0000, -41.5000, 25.0000, 4.500, 0
1940, 1, 7, 175.5000, -40.0000, 25.0000, 4.500, 0
1940, 1, 8, 174.0000, -41.7000, 25.0000, 4.500, 0
1940, 1, 11, 173.0000, -40.2000, 25.0000, 5.500, 0
1940, 1, 21, 177.0000, -39.0000, 25.0000, 4.500, 0
1940, 1, 24, 175.5000, -39.0000, 25.0000, 4.500, 0
1940, 1, 24, 175.5000, -39.0000, 25.0000, 4.500, 0
1940, 1, 27, 174.0000, -40.0000, 25.0000, 4.500, 0
1940, 1, 27, 174.0000, -40.0000, 25.0000, 4.500, 0
1940, 2, 5, 173.5000, -41.5000, 25.0000, 4.500, 0
1940, 2, 9, 172.0000, -41.5000, 25.0000, 4.500, 0
1940, 2, 14, 175.7000, -40.2000, 25.0000, 4.500, 0
1940, 2, 26, 176.5000, -39.5000, 25.0000, 6.000, 0
1940, 3, 17, 176.5000, -38.7000, 25.0000, 4.500, 0
1940, 3, 17, 178.5000, -37.7000, 25.0000, 4.500, 0
1940, 3, 19, 176.5000, -39.0000, 12.0000, 5.170, 0
1940, 3, 20, 177.0000, -38.0000, 25.0000, 4.500, 0
1940, 3, 23, 174.5000, -41.0000, 25.0000, 4.500, 0
1940, 3, 28, 177.0000, -38.0000, 25.0000, 4.500, 0
1940, 4, 2, 175.7000, -39.5000, 25.0000, 4.500, 0
1940, 4, 2, 169.0000, -46.5000, 25.0000, 4.500, 0
1940, 4, 19, 176.2000, -40.1000, 25.0000, 4.500, 0
1940, 5, 12, 176.0000, -38.0000, 25.0000, 4.500, 0
1940, 5, 12, 176.0000, -38.0000, 25.0000, 4.500, 0
1940, 5, 14, 168.0000, -46.0000, 25.0000, 4.500, 0
1940, 6, 3, 175.5000, -40.5000, 25.0000, 4.500, 0
1940, 6, 12, 175.3000, -39.5000, 25.0000, 4.500, 0
1940, 6, 19, 174.0000, -40.0000, 25.0000, 4.500, 0
1940, 6, 24, 174.0000, -41.0000, 25.0000, 4.500, 0
1940, 6, 25, 178.3000, -40.0000, 25.0000, 4.500, 1
1940, 6, 30, 179.0000, -38.5000, 25.0000, 4.500, 1
1940, 7, 8, 177.7000, -39.5000, 25.0000, 4.500, 1
1940, 7, 8, 174.5000, -40.5000, 25.0000, 4.500, 0
1940, 7, 10, 175.0000, -41.0000, 25.0000, 4.500, 0
1940, 7, 13, 172.8000, -41.5000, 25.0000, 4.500, 0
1940, 7, 19, 173.2000, -41.5000, 25.0000, 4.500, 0
1940, 7, 22, 174.0000, -40.3000, 25.0000, 4.500, 0
1940, 7, 31, 175.5000, -41.0000, 25.0000, 4.500, 0
1940, 8, 2, 178.2000, -39.1000, 40.0000, 4.690, 1
1940, 8, 2, 174.0000, -39.0000, 25.0000, 4.500, 0
1940, 8, 7, 173.0000, -40.0000, 25.0000, 4.500, 0
1940, 8, 10, 178.0000, -38.5000, 25.0000, 4.500, 0
1940, 8, 22, 173.5000, -41.5000, 25.0000, 4.500, 0
1940, 8, 24, 178.0000, -38.5000, 25.0000, 4.500, 0
1940, 9, 1, 174.0000, -42.0000, 25.0000, 3.700, 0
1940, 9, 5, 175.5000, -39.0000, 33.0000, 3.800, 0
1940, 9, 6, 174.5000, -40.5000, 25.0000, 4.000, 0
1940, 9, 15, 176.0000, -41.0000, 33.0000, 3.800, 1
1940, 9, 15, 174.0000, -39.0000, 25.0000, 4.600, 0
1940, 9, 16, 173.0000, -41.0000, 25.0000, 3.500, 0
1940, 9, 28, 172.0000, -41.0000, 25.0000, 3.700, 0
1940, 10, 6, 177.0000, -37.5000, 25.0000, 3.700, 0
1940, 10, 21, 174.3000, -41.3000, 33.0000, 4.600, 0
1940, 10, 24, 175.3000, -38.8000, 25.0000, 3.700, 0
1940, 10, 30, 172.0000, -41.0000, 25.0000, 4.500, 0
1940, 10, 31, 175.0000, -42.0000, 33.0000, 4.600, 1
1940, 11, 8, 175.0000, -39.0000, 25.0000, 3.700, 0
1940, 11, 8, 175.5000, -39.5000, 33.0000, 3.800, 0
1940, 11, 10, 176.0000, -38.5000, 33.0000, 4.100, 0
1940, 11, 19, 174.0000, -40.0000, 25.0000, 4.500, 0
1940, 11, 29, 180.0000, -37.0000, 25.0000, 4.800, 1
1940, 11, 30, 180.0000, -37.0000, 25.0000, 4.700, 1
1940, 12, 1, 176.3000, -38.2000, 25.0000, 4.500, 0
1940, 12, 2, 171.4000, -42.1000, 33.0000, 3.900, 0
1940, 12, 12, 175.0000, -40.0000, 25.0000, 4.500, 0
1940, 12, 13, 175.6000, -41.0000, 25.0000, 3.300, 0
1940, 12, 21, 176.0000, -39.0000, 33.0000, 4.000, 0
1941, 1, 9, 177.2000, -38.1000, 12.0000, 4.760, 0
1941, 1, 11, 177.3000, -38.0000, 25.0000, 4.500, 0
1941, 1, 17, 175.2000, -39.2000, 33.0000, 3.800, 0
1941, 1, 25, 175.7000, -40.5000, 25.0000, 4.500, 0
1941, 1, 27, 172.2000, -41.8000, 33.0000, 4.000, 0
1941, 2, 10, 173.6000, -40.4000, 33.0000, 4.000, 0
1941, 2, 11, 174.9000, -40.2000, 33.0000, 4.800, 0
1941, 2, 17, 174.5000, -40.2000, 25.0000, 4.000, 0
1941, 2, 17, 172.5000, -40.5000, 33.0000, 4.000, 0
1941, 2, 19, 173.6000, -39.3000, 12.0000, 4.900, 0
1941, 3, 3, 175.2000, -39.2000, 25.0000, 4.500, 0
1941, 3, 18, 176.3000, -38.0000, 25.0000, 4.500, 0
