year, month, day, lon, lat, dep, mag, isslab
1944, 6, 16, 173.7200, -41.4300, 100.0000, 3.160, 1
1944, 6, 28, 175.3700, -39.2500, 226.0000, 5.506, 1
1944, 7, 27, 175.8700, -37.9000, 125.0000, 4.478, 1
1944, 8, 6, 176.8600, -38.9800, 66.0000, 3.955, 1
1944, 8, 13, 177.3800, -37.0400, 251.0000, 5.173, 1
1944, 8, 19, 172.9200, -40.3900, 135.0000, 4.301, 1
1944, 9, 2, 177.5100, -37.3600, 322.0000, 4.417, 1
1944, 9, 3, 176.0500, -38.9400, 120.0000, 4.031, 1
1944, 9, 23, 176.2400, -38.9600, 140.0000, 3.881, 1
1944, 9, 25, 174.5100, -39.9000, 113.0000, 4.302, 1
1944, 10, 7, 177.6500, -36.0500, 198.0000, 4.865, 1
1944, 10, 10, 176.8200, -38.4000, 180.0000, 4.143, 1
1944, 10, 26, 175.6900, -38.9500, 163.0000, 4.285, 1
1944, 11, 13, 176.9100, -38.4700, 204.0000, 4.035, 1
1944, 11, 27, 174.9900, -39.7600, 99.0000, 4.132, 1
1945, 1, 18, 173.3800, -40.4400, 205.0000, 4.338, 1
1945, 2, 24, 174.4100, -40.0700, 129.0000, 3.601, 1
1945, 2, 25, 174.0700, -39.8700, 214.0000, 3.603, 1
1945, 3, 18, 173.5800, -40.3200, 184.0000, 3.572, 1
1945, 7, 2, 174.9800, -39.3200, 205.0000, 3.981, 1
1945, 10, 5, 176.1600, -38.7500, 180.0000, 5.013, 1
1945, 10, 14, 173.9900, -40.4900, 75.0000, 3.832, 0
1945, 10, 23, 178.4700, -37.7400, 151.0000, 4.467, 1
1945, 12, 28, 173.1700, -40.9400, 107.0000, 3.348, 1
1945, 12, 30, 177.1200, -37.8700, 265.0000, 4.866, 1
1946, 2, 12, 175.0200, -39.7700, 132.0000, 5.511, 1
1946, 2, 26, 176.9800, -38.5500, 103.0000, 5.197, 1
1946, 4, 22, 176.1500, -38.8400, 124.0000, 4.786, 1
1946, 5, 13, 173.7400, -40.4300, 167.0000, 4.429, 1
1946, 7, 8, 175.8900, -38.0900, 175.0000, 4.716, 1
1946, 8, 14, 176.4400, -38.3000, 238.0000, 4.464, 1
1946, 8, 18, 177.1200, -37.8500, 279.0000, 4.213, 1
1946, 9, 6, 174.7400, -40.8400, 83.0000, 3.711, 1
1946, 9, 12, 172.8000, -41.0200, 166.0000, 4.431, 1
1946, 9, 29, 178.8400, -35.1600, 200.0000, 4.656, 1
1946, 10, 11, 175.9600, -38.7400, 185.0000, 4.182, 1
1946, 10, 12, 174.1400, -40.2000, 92.0000, 4.250, 1
1946, 11, 13, 175.5500, -38.9300, 224.0000, 4.293, 1
1946, 12, 9, 173.3400, -40.3400, 147.0000, 4.578, 1
1947, 1, 10, 176.6100, -38.0000, 239.0000, 4.461, 1
