lon,lat,dep,rate
179.6103,-35.2112,0.7540,0.0002179599
179.5380,-35.1797,0.8124,0.0002209183
179.4681,-35.1486,0.8732,0.0002211307
179.3992,-35.1183,0.9362,0.0002211490
179.3323,-35.0882,1.0016,0.0002227778
179.2668,-35.0586,1.0690,0.0002279007
179.2017,-35.0297,1.1383,0.0002375786
179.1389,-35.0007,1.2094,0.0002506580
179.0765,-34.9724,1.2818,0.0002667308
179.0144,-34.9447,1.3554,0.0002840702
178.9543,-34.9168,1.4303,0.0002998982
178.8943,-34.8897,1.5060,0.0003135934
178.8348,-34.8629,1.5826,0.0003237162
178.7770,-34.8361,1.6601,0.0003293259
178.7191,-34.8099,1.7384,0.0003311655
178.6615,-34.7842,1.8172,0.0003295093
178.6058,-34.7582,1.8966,0.0003245650
178.5498,-34.7330,1.9766,0.0003178469
178.4939,-34.7085,2.0571,0.0003099939
178.4401,-34.6838,2.1377,0.0003012308
178.3867,-34.6598,2.2200,0.0002925246
180.8875,-35.8197,0.3299,0.0002211114
180.7839,-35.7750,0.3341,0.0002152370
180.6812,-35.7326,0.3392,0.0002075418
180.5800,-35.6933,0.3463,0.0001988669
180.4804,-35.6574,0.3557,0.0001899656
180.3832,-35.6244,0.3683,0.0001815298
180.2884,-35.5936,0.3848,0.0001743780
180.1962,-35.5633,0.4064,0.0001698341
180.1066,-35.5326,0.4338,0.0001697196
180.0194,-35.5007,0.4674,0.0001756698
179.9343,-35.4677,0.5069,0.0001882739
179.8515,-35.4340,0.5513,0.0002061957
179.7709,-35.4001,0.5998,0.0002264121
179.6923,-35.3667,0.6512,0.0002453012
179.6162,-35.3338,0.7052,0.0002595394
179.5420,-35.3018,0.7614,0.0002679692
179.4703,-35.2704,0.8200,0.0002708448
179.4004,-35.2396,0.8808,0.0002703714
179.3326,-35.2091,0.9441,0.0002691361
179.2664,-35.1791,1.0098,0.0002699322
179.2016,-35.1494,1.0777,0.0002745470
179.1386,-35.1199,1.1476,0.0002835055
179.0763,-35.0908,1.2192,0.0002966857
179.0151,-35.0620,1.2921,0.0003125460
178.9553,-35.0335,1.3663,0.0003290527
178.8961,-35.0053,1.4416,0.0003445542
178.8374,-34.9776,1.5178,0.0003574765
178.7798,-34.9501,1.5947,0.0003664518
178.7230,-34.9228,1.6725,0.0003711132
178.6663,-34.8960,1.7510,0.0003717480
178.6102,-34.8695,1.8301,0.0003686485
178.5556,-34.8430,1.9096,0.0003623887
178.5005,-34.8173,1.9898,0.0003542083
178.4457,-34.7921,2.0703,0.0003446929
178.3931,-34.7667,2.1510,0.0003342878
178.3404,-34.7422,2.2336,0.0003239333
180.8270,-35.9055,0.3289,0.0002080057
180.7239,-35.8611,0.3331,0.0002050894
180.6220,-35.8191,0.3385,0.0002007082
180.5217,-35.7802,0.3460,0.0001953247
180.4230,-35.7447,0.3559,0.0001894312
180.3266,-35.7121,0.3692,0.0001837174
180.2322,-35.6814,0.3866,0.0001793191
180.1400,-35.6511,0.4093,0.0001780792
