lon,lat,dep,rate
164.7004,-47.6779,0.2141,0.0001475804
164.7827,-47.7308,0.2400,0.0001853005
164.8604,-47.7808,0.2781,0.0002207476
164.9360,-47.8281,0.3288,0.0002511317
165.0096,-47.8726,0.3904,0.0002730430
165.0810,-47.9147,0.4595,0.0002841436
165.1504,-47.9549,0.5336,0.0002838509
165.2180,-47.9937,0.6109,0.0002731142
165.2840,-48.0313,0.6900,0.0002540839
165.3484,-48.0680,0.7703,0.0002294802
165.4112,-48.1038,0.8516,0.0002021142
165.4722,-48.1385,0.9338,0.0001744662
165.5313,-48.1721,1.0172,0.0001482658
165.5886,-48.2047,1.1019,0.0001244810
165.6443,-48.2362,1.1881,0.0001035495
165.6985,-48.2669,1.2755,0.0000855113
164.6956,-47.5439,0.2029,0.0001332203
164.7840,-47.5994,0.2221,0.0001744006
164.8656,-47.6518,0.2515,0.0002146609
164.9439,-47.7016,0.2930,0.0002507906
165.0204,-47.7488,0.3463,0.0002788330
165.0949,-47.7935,0.4090,0.0002951784
165.1672,-47.8360,0.4782,0.0002982620
165.2375,-47.8767,0.5516,0.0002887800
165.3057,-47.9160,0.6277,0.0002691821
165.3721,-47.9540,0.7056,0.0002427603
165.4364,-47.9908,0.7849,0.0002130540
165.4985,-48.0263,0.8655,0.0001830154
165.5583,-48.0606,0.9474,0.0001547006
165.6158,-48.0935,1.0310,0.0001292840
165.6714,-48.1251,1.1164,0.0001070951
165.7254,-48.1558,1.2035,0.0000880899
165.7780,-48.1856,1.2916,0.0000720648
164.6831,-47.4074,0.1941,0.0001090764
164.7803,-47.4659,0.2100,0.0001499826
164.8673,-47.5208,0.2324,0.0001913358
164.9494,-47.5730,0.2654,0.0002300585
165.0289,-47.6229,0.3097,0.0002618957
165.1066,-47.6703,0.3645,0.0002824383
165.1823,-47.7154,0.4273,0.0002889377
165.2558,-47.7585,0.4957,0.0002814075
165.3269,-47.7998,0.5678,0.0002623646
165.3955,-47.8395,0.6424,0.0002357333
165.4617,-47.8776,0.7191,0.0002054917
165.5251,-47.9142,0.7976,0.0001751376
165.5858,-47.9492,0.8779,0.0001468354
165.6438,-47.9826,0.9603,0.0001217635
