clon1,clat1,cdep1,clon2,clat2,cdep2,clon3,clat3,cdep3
166.4754,-49.6830,216.455,166.4160,-49.6657,218.170,166.3566,-49.6483,219.885
166.5153,-49.7048,217.984,166.4558,-49.6874,219.677,166.3963,-49.6699,221.369
166.5547,-49.7262,219.459,166.4951,-49.7088,221.129,166.4354,-49.6913,222.800
164.2722,-48.3259,19.223,164.2519,-48.3198,23.939,164.2317,-48.3137,28.654
164.3663,-48.3818,22.874,164.3393,-48.3736,27.349,164.3124,-48.3655,31.823
164.4519,-48.4336,27.693,164.4166,-48.4230,31.775,164.3814,-48.4123,35.857
164.5323,-48.4816,33.947,164.4907,-48.4690,37.622,164.4490,-48.4565,41.296
164.6079,-48.5257,41.379,164.5620,-48.5119,44.715,164.5161,-48.4981,48.052
164.6791,-48.5666,49.630,164.6306,-48.5520,52.726,164.5821,-48.5374,55.821
164.7470,-48.6050,58.409,164.6970,-48.5900,61.350,164.6470,-48.5750,64.292
164.8128,-48.6420,67.511,164.7620,-48.6267,70.368,164.7113,-48.6115,73.226
164.8778,-48.6781,76.801,164.8267,-48.6628,79.629,164.7757,-48.6475,82.457
164.9428,-48.7141,86.184,164.8918,-48.6988,89.023,164.8408,-48.6836,91.863
165.0085,-48.7503,95.569,164.9577,-48.7352,98.440,164.9069,-48.7200,101.310
165.0744,-48.7868,104.872,165.0235,-48.7716,107.738,164.9726,-48.7564,110.605
165.1392,-48.8229,114.147,165.0878,-48.8076,116.954,165.0364,-48.7923,119.761
165.2025,-48.8582,123.528,165.1503,-48.8427,126.256,165.0982,-48.8271,128.984
165.2640,-48.8924,133.039,165.2112,-48.8768,135.691,165.1585,-48.8611,138.343
165.3241,-48.9258,142.203,165.2708,-48.9100,144.791,165.2175,-48.8942,147.378
165.3829,-48.9585,149.737,165.3291,-48.9426,152.269,165.2754,-48.9266,154.801
165.4405,-48.9904,155.620,165.3863,-48.9744,158.100,165.3322,-48.9583,160.581
165.4970,-49.0217,160.788,165.4425,-49.0056,163.218,165.3880,-48.9894,165.649
165.5525,-49.0524,165.443,165.4976,-49.0362,167.825,165.4427,-49.0199,170.207
165.6069,-49.0824,169.699,165.5516,-49.0661,172.035,165.4964,-49.0498,174.370
165.6603,-49.1119,173.629,165.6047,-49.0955,175.919,165.5491,-49.0791,178.209
165.7127,-49.1408,177.282,165.6568,-49.1243,179.528,165.6009,-49.1078,181.774
165.7641,-49.1692,180.695,165.7079,-49.1526,182.899,165.6518,-49.1360,185.103
165.8147,-49.1970,183.899,165.7582,-49.1804,186.062,165.7017,-49.1637,188.226
165.8643,-49.2243,186.918,165.8076,-49.2076,189.042,165.7509,-49.1909,191.166
165.9131,-49.2512,189.772,165.8561,-49.2344,191.859,165.7992,-49.2176,193.945
165.9611,-49.2775,192.477,165.9039,-49.2607,194.527,165.8467,-49.2438,196.578
166.0083,-49.3035,195.047,165.9508,-49.2866,197.062,165.8934,-49.2696,199.078
166.0547,-49.3289,197.494,165.9970,-49.3120,199.475,165.9394,-49.2950,201.457
166.1004,-49.3540,199.827,166.0425,-49.3370,201.777,165.9847,-49.3200,203.726
166.1454,-49.3787,202.056,166.0873,-49.3616,203.974,166.0293,-49.3445,205.893
166.1897,-49.4029,204.187,166.1315,-49.3858,206.076,166.0733,-49.3687,207.965
166.2333,-49.4268,206.229,166.1749,-49.4097,208.089,166.1166,-49.3925,209.949
166.2763,-49.4504,208.187,166.2178,-49.4332,210.019,166.1592,-49.4159,211.851
166.3187,-49.4735,210.066,166.2600,-49.4563,211.871,166.2013,-49.4390,213.676
166.3605,-49.4964,211.871,166.3017,-49.4791,213.650,166.2428,-49.4618,215.429
166.4018,-49.5189,213.606,166.3428,-49.5016,215.361,166.2838,-49.4842,217.115
166.4425,-49.5411,215.276,166.3833,-49.5238,217.006,166.3242,-49.5064,218.736
166.4826,-49.5630,216.884,166.4233,-49.5456,218.591,166.3640,-49.5282,220.297
166.5222,-49.5846,218.434,166.4628,-49.5672,220.118,166.4034,-49.5497,221.801
166.5613,-49.6059,219.928,166.5018,-49.5885,221.589,166.4423,-49.5710,223.251
166.6000,-49.6270,221.369,166.5403,-49.6095,223.009,166.4807,-49.5920,224.650
164.3661,-48.2516,20.259,164.3452,-48.2453,24.945,164.3242,-48.2389,29.631
164.4562,-48.3061,24.042,164.4269,-48.2972,28.418,164.3977,-48.2883,32.793
164.5402,-48.3569,29.251,164.5030,-48.3456,33.218,164.4658,-48.3344,37.185
164.6191,-48.4038,35.852,164.5762,-48.3908,39.426,164.5333,-48.3778,43.000
164.6934,-48.4470,43.530,164.6468,-48.4330,46.796,164.6002,-48.4189,50.063
164.7636,-48.4872,51.932,164.7148,-48.4725,54.986,164.6660,-48.4577,58.040
164.8309,-48.5252,60.790,164.7808,-48.5102,63.711,164.7307,-48.4951,66.631
164.8964,-48.5620,69.926,164.8456,-48.5467,72.774,164.7949,-48.5314,75.622
164.9611,-48.5980,79.220,164.9100,-48.5827,82.040,164.8590,-48.5673,84.861
165.0257,-48.6338,88.590,164.9746,-48.6185,91.413,164.9235,-48.6032,94.236
165.0904,-48.6697,97.960,165.0394,-48.6544,100.788,164.9883,-48.6391,103.616
165.1548,-48.7055,107.292,165.1034,-48.6902,110.090,165.0520,-48.6748,112.887
165.2179,-48.7407,116.663,165.1659,-48.7252,119.396,165.1140,-48.7097,122.129
165.2795,-48.7751,126.158,165.2270,-48.7595,128.821,165.1745,-48.7438,131.485
165.3397,-48.8087,135.769,165.2866,-48.7929,138.367,165.2335,-48.7770,140.964
165.3985,-48.8414,145.154,165.3449,-48.8255,147.692,165.2914,-48.8095,150.229
165.4561,-48.8734,152.908,165.4021,-48.8573,155.391,165.3481,-48.8413,157.874
165.5125,-48.9047,158.841,165.4581,-48.8886,161.273,165.4037,-48.8724,163.706
165.5678,-48.9354,164.003,165.5131,-48.9192,166.385,165.4583,-48.9029,168.768
165.6221,-48.9655,168.618,165.5670,-48.9491,170.953,165.5119,-48.9328,173.288
165.6754,-48.9950,172.812,165.6199,-48.9785,175.101,165.5645,-48.9621,177.389
165.7276,-49.0238,176.666,165.6718,-49.0073,178.909,165.6161,-48.9908,181.153
165.7789,-49.0522,180.236,165.7228,-49.0356,182.437,165.6668,-49.0190,184.638
165.8292,-49.0800,183.568,165.7729,-49.0633,185.727,165.7165,-49.0466,187.887
165.8787,-49.1073,186.692,165.8220,-49.0905,188.812,165.7654,-49.0738,190.931
165.9272,-49.1340,189.635,165.8703,-49.1172,191.717,165.8135,-49.1004,193.798
165.9750,-49.1603,192.417,165.9178,-49.1435,194.462,165.8608,-49.1266,196.506
166.0219,-49.1862,195.055,165.9646,-49.1693,197.064,165.9073,-49.1523,199.073
166.0681,-49.2116,197.561,166.0105,-49.1946,199.536,165.9530,-49.1776,201.511
166.1135,-49.2366,199.948,166.0557,-49.2195,201.891,165.9980,-49.2024,203.833
166.1582,-49.2611,202.226,166.1002,-49.2440,204.136,166.0423,-49.2269,206.047
166.2022,-49.2853,204.402,166.1441,-49.2681,206.282,166.0860,-49.2510,208.163
166.2455,-49.3091,206.484,166.1872,-49.2919,208.335,166.1290,-49.2747,210.187
166.2883,-49.3325,208.478,166.2298,-49.3153,210.302,166.1714,-49.2980,212.125
166.3304,-49.3556,210.391,166.2717,-49.3383,212.188,166.2131,-49.3210,213.984
166.3718,-49.3783,212.228,166.3131,-49.3610,213.998,166.2543,-49.3437,215.768
166.4128,-49.4007,213.992,166.3538,-49.3834,215.737,166.2950,-49.3660,217.482
166.4531,-49.4228,215.689,166.3941,-49.4054,217.410,166.3351,-49.3880,219.130
166.4930,-49.4446,217.322,166.4338,-49.4272,219.019,166.3746,-49.4097,220.716
166.5323,-49.4661,218.895,166.4729,-49.4486,220.569,166.4137,-49.4311,222.244
166.5711,-49.4873,220.411,166.5116,-49.4698,222.063,166.4522,-49.4523,223.715
166.6094,-49.5082,221.872,166.5498,-49.4907,223.503,166.4903,-49.4731,225.134
166.6472,-49.5288,223.283,166.5875,-49.5113,224.893,166.5279,-49.4937,226.502
164.3608,-48.1193,18.130,164.3442,-48.1142,22.940,164.3277,-48.1092,27.751
164.4576,-48.1766,21.136,164.4348,-48.1696,25.760,164.4120,-48.1627,30.384
164.5452,-48.2299,25.241,164.5136,-48.2204,29.510,164.4821,-48.2108,33.778
164.6276,-48.2797,30.844,164.5887,-48.2679,34.700,164.5499,-48.2561,38.555
164.7052,-48.3256,37.773,164.6613,-48.3123,41.258,164.6173,-48.2989,44.743
164.7783,-48.3680,45.668,164.7312,-48.3537,48.877,164.6841,-48.3394,52.085
