clon1,clat1,cdep1,clon2,clat2,cdep2,clon3,clat3,cdep3
179.3901,-34.8429,101.555,179.4224,-34.9188,109.528,179.4520,-34.9884,116.838
179.3208,-34.8124,109.145,179.3530,-34.8900,116.920,179.3826,-34.9611,124.046
179.2535,-34.7823,116.973,179.2857,-34.8614,124.568,179.3153,-34.9338,131.530
179.1875,-34.7529,124.959,179.2197,-34.8332,132.390,179.2492,-34.9068,139.202
179.1229,-34.7239,133.074,179.1549,-34.8053,140.355,179.1843,-34.8800,147.030
179.0598,-34.6952,141.360,179.0918,-34.7777,148.506,179.1212,-34.8532,155.056
178.9976,-34.6671,149.716,179.0293,-34.7505,156.736,179.0584,-34.8269,163.171
178.9365,-34.6394,158.177,178.9681,-34.7236,165.082,178.9971,-34.8007,171.411
178.8768,-34.6119,166.756,178.9084,-34.6968,173.555,178.9374,-34.7746,179.788
178.8175,-34.5849,175.358,178.8487,-34.6706,182.057,178.8774,-34.7490,188.198
178.7594,-34.5582,184.023,178.7904,-34.6445,190.630,178.8189,-34.7235,196.686
178.7024,-34.5317,192.762,178.7336,-34.6184,199.282,178.7623,-34.6979,205.259
178.6457,-34.5057,201.496,178.6767,-34.5930,207.931,178.7051,-34.6730,213.829
178.5900,-34.4799,210.224,178.6208,-34.5678,216.572,178.6491,-34.6483,222.391
178.5355,-34.4544,218.939,178.5666,-34.5427,225.199,178.5951,-34.6237,230.938
178.4815,-34.4294,227.604,178.5125,-34.5182,233.774,178.5411,-34.5996,239.430
178.4282,-34.4047,236.194,178.4593,-34.4940,242.269,178.4878,-34.5759,247.838
178.3762,-34.3803,244.639,178.4076,-34.4701,250.616,178.4364,-34.5524,256.094
178.3252,-34.3563,252.759,178.3569,-34.4466,258.636,178.3861,-34.5293,264.023
178.2750,-34.3327,260.207,178.3071,-34.4234,265.989,178.3366,-34.5064,271.289
178.2262,-34.3092,266.575,178.2590,-34.4002,272.272,178.2892,-34.4835,277.495
178.1786,-34.2859,271.919,178.2125,-34.3769,277.542,178.2436,-34.4604,282.696
178.1316,-34.2629,276.641,178.1665,-34.3540,282.195,178.1986,-34.4374,287.286
178.0850,-34.2401,280.973,178.1208,-34.3313,286.461,178.1536,-34.4149,291.492
178.0387,-34.2177,285.019,178.0752,-34.3090,290.443,178.1087,-34.3927,295.415
177.9928,-34.1956,288.836,178.0299,-34.2870,294.197,178.0639,-34.3708,299.112
177.9473,-34.1737,292.463,177.9848,-34.2653,297.762,178.0193,-34.3493,302.619
177.9023,-34.1521,295.923,177.9401,-34.2439,301.161,177.9749,-34.3280,305.962
177.8576,-34.1308,299.237,177.8958,-34.2228,304.414,177.9309,-34.3071,309.159
177.8135,-34.1098,302.418,177.8519,-34.2020,307.535,177.8872,-34.2864,312.226
177.7698,-34.0890,305.479,177.8084,-34.1814,310.537,177.8439,-34.2660,315.174
177.7265,-34.0685,308.429,177.7653,-34.1610,313.429,177.8010,-34.2459,318.012
177.6838,-34.0481,311.278,177.7227,-34.1409,316.220,177.7585,-34.2260,320.750
177.6415,-34.0281,314.031,177.6806,-34.1211,318.917,177.7165,-34.2063,323.395
177.5997,-34.0082,316.696,177.6389,-34.1014,321.526,177.6749,-34.1868,325.953
177.5584,-33.9886,319.279,177.5977,-34.0820,324.053,177.6338,-34.1676,328.429
177.5175,-33.9692,321.783,177.5569,-34.0628,326.502,177.5931,-34.1486,330.829
177.4771,-33.9501,324.214,177.5166,-34.0438,328.880,177.5529,-34.1298,333.157
177.4372,-33.9311,326.575,177.4767,-34.0251,331.188,177.5131,-34.1112,335.417
177.3977,-33.9124,328.870,177.4373,-34.0065,333.432,177.4737,-34.0928,337.613
177.3586,-33.8939,331.103,177.3983,-33.9882,335.613,177.4347,-34.0746,339.748
181.0095,-35.6425,24.752,181.0111,-35.6470,36.740,181.0126,-35.6512,47.729
180.9054,-35.5955,25.324,180.9077,-35.6019,37.301,180.9098,-35.6077,48.280
180.8020,-35.5496,25.857,180.8054,-35.5584,37.812,180.8086,-35.5664,48.771
180.6997,-35.5053,26.601,180.7048,-35.5176,38.512,180.7094,-35.5288,49.430
180.5988,-35.4630,27.627,180.6062,-35.4800,39.453,180.6131,-35.4956,50.293
180.4998,-35.4226,29.021,180.5104,-35.4455,40.701,180.5201,-35.4664,51.407
180.4029,-35.3839,30.898,180.4173,-35.4134,42.355,180.4304,-35.4405,52.858
180.3085,-35.3463,33.357,180.3268,-35.3826,44.522,180.3436,-35.4160,54.756
180.2167,-35.3092,36.492,180.2390,-35.3518,47.316,180.2595,-35.3909,57.239
180.1271,-35.2723,40.318,180.1529,-35.3203,50.794,180.1765,-35.3644,60.397
180.0400,-35.2353,44.815,180.0688,-35.2877,54.964,180.0952,-35.3357,64.267
179.9549,-35.1985,49.888,179.9861,-35.2544,59.741,180.0147,-35.3057,68.773
179.8717,-35.1621,55.438,179.9048,-35.2209,65.025,179.9352,-35.2749,73.813
179.7906,-35.1262,61.372,179.8253,-35.1876,70.709,179.8573,-35.2439,79.267
179.7112,-35.0911,67.603,179.7473,-35.1549,76.694,179.7805,-35.2134,85.026
179.6340,-35.0568,74.104,179.6714,-35.1228,82.948,179.7059,-35.1834,91.055
179.5584,-35.0235,80.834,179.5969,-35.0917,89.431,179.6322,-35.1543,97.312
179.4852,-34.9908,87.803,179.5248,-35.0610,96.157,179.5611,-35.1254,103.815
179.4136,-34.9591,95.000,179.4538,-35.0312,103.124,179.4908,-35.0972,110.571
