clon,clat,cdep,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
164.9436,-48.8531,105.238,164.8693,-48.8749,99.282,164.9503,-48.7939,101.960,165.0167,-48.8307,111.148,164.9383,-48.9128,108.560
165.0101,-48.8901,114.400,164.9383,-48.9128,108.560,165.0167,-48.8307,111.148,165.0809,-48.8668,120.308,165.0046,-48.9501,117.582
165.0745,-48.9262,123.564,165.0046,-48.9501,117.582,165.0809,-48.8668,120.308,165.1434,-48.9018,129.605,165.0689,-48.9861,126.760
165.1370,-48.9613,132.664,165.0689,-48.9861,126.760,165.1434,-48.9018,129.605,165.2042,-48.9359,139.045,165.1315,-49.0211,135.245
165.1981,-48.9953,141.053,165.1315,-49.0211,135.245,165.2042,-48.9359,139.045,165.2638,-48.9691,147.193,165.1927,-49.0553,142.730
165.2578,-49.0286,148.185,165.1927,-49.0553,142.730,165.2638,-48.9691,147.193,165.3222,-49.0016,153.542,165.2526,-49.0886,149.275
165.3164,-49.0612,154.217,165.2526,-49.0886,149.275,165.3222,-49.0016,153.542,165.3795,-49.0334,159.041,165.3113,-49.1211,155.010
165.3738,-49.0931,159.528,165.3113,-49.1211,155.010,165.3795,-49.0334,159.041,165.4357,-49.0646,163.929,165.3688,-49.1530,160.133
165.4301,-49.1243,164.303,165.3688,-49.1530,160.133,165.4357,-49.0646,163.929,165.4909,-49.0952,168.371,165.4252,-49.1842,164.778
165.4854,-49.1548,168.661,165.4252,-49.1842,164.778,165.4909,-49.0952,168.371,165.5450,-49.1252,172.457,165.4805,-49.2148,169.038
165.5396,-49.1848,172.680,165.4805,-49.2148,169.038,165.5450,-49.1252,172.457,165.5981,-49.1546,176.245,165.5348,-49.2448,172.979
165.5928,-49.2142,176.412,165.5348,-49.2448,172.979,165.5981,-49.1546,176.245,165.6503,-49.1834,179.777,165.5881,-49.2742,176.646
165.6451,-49.2431,179.896,165.5881,-49.2742,176.646,165.6503,-49.1834,179.777,165.7016,-49.2117,183.085,165.6405,-49.3031,180.077
165.6965,-49.2714,183.165,165.6405,-49.3031,180.077,165.7016,-49.2117,183.085,165.7519,-49.2395,186.197,165.6919,-49.3314,183.299
165.7469,-49.2992,186.241,165.6919,-49.3314,183.299,165.7519,-49.2395,186.197,165.8014,-49.2667,189.132,165.7424,-49.3592,186.336
165.7965,-49.3265,189.146,165.7424,-49.3592,186.336,165.8014,-49.2667,189.132,165.8501,-49.2935,191.910,165.7921,-49.3865,189.206
165.8453,-49.3533,191.897,165.7921,-49.3865,189.206,165.8501,-49.2935,191.910,165.8979,-49.3199,194.546,165.8410,-49.4134,191.927
165.8933,-49.3797,194.508,165.8410,-49.4134,191.927,165.8979,-49.3199,194.546,165.9450,-49.3458,197.051,165.8891,-49.4397,194.510
165.9405,-49.4056,196.992,165.8891,-49.4397,194.510,165.9450,-49.3458,197.051,165.9914,-49.3712,199.437,165.9364,-49.4657,196.969
165.9869,-49.4311,199.359,165.9364,-49.4657,196.969,165.9914,-49.3712,199.437,166.0370,-49.3963,201.714,165.9830,-49.4912,199.313
166.0327,-49.4562,201.617,165.9830,-49.4912,199.313,166.0370,-49.3963,201.714,166.0819,-49.4209,203.890,166.0288,-49.5163,201.552
166.0777,-49.4809,203.777,166.0288,-49.5163,201.552,166.0819,-49.4209,203.890,166.1262,-49.4452,205.972,166.0740,-49.5411,203.692
166.1221,-49.5052,205.843,166.0740,-49.5411,203.692,166.1262,-49.4452,205.972,166.1698,-49.4691,207.967,166.1185,-49.5654,205.741
166.1659,-49.5291,207.823,166.1185,-49.5654,205.741,166.1698,-49.4691,207.967,166.2128,-49.4926,209.880,166.1624,-49.5894,207.705
166.2090,-49.5527,209.722,166.1624,-49.5894,207.705,166.2128,-49.4926,209.880,166.2551,-49.5158,211.716,166.2057,-49.6130,209.589
166.2515,-49.5759,211.546,166.2057,-49.6130,209.589,166.2551,-49.5158,211.716,166.2969,-49.5387,213.480,166.2483,-49.6363,211.399
166.2935,-49.5988,213.299,166.2483,-49.6363,211.399,166.2969,-49.5387,213.480,166.3382,-49.5612,215.177,166.2904,-49.6592,213.138
166.3348,-49.6214,214.984,166.2904,-49.6592,213.138,166.3382,-49.5612,215.177,166.3789,-49.5834,216.810,166.3319,-49.6819,214.812
166.3757,-49.6437,216.607,166.3319,-49.6819,214.812,166.3789,-49.5834,216.810,166.4190,-49.6053,218.383,166.3729,-49.7042,216.423
166.4160,-49.6657,218.170,166.3729,-49.7042,216.423,166.4190,-49.6053,218.383,166.4587,-49.6270,219.899,166.4133,-49.7262,217.975
166.4558,-49.6874,219.677,166.4133,-49.7262,217.975,166.4587,-49.6270,219.899,166.4978,-49.6483,221.361,166.4533,-49.7479,219.472
166.4951,-49.7088,221.129,166.4533,-49.7479,219.472,166.4978,-49.6483,221.361,166.5365,-49.6694,222.771,166.4927,-49.7694,220.915
164.2519,-48.3198,23.939,164.1531,-48.3275,21.674,164.2552,-48.2555,23.094,164.3443,-48.3104,25.950,164.2552,-48.3859,25.037
164.3393,-48.3736,27.349,164.2552,-48.3859,25.037,164.3443,-48.3104,25.950,164.4226,-48.3608,29.827,164.3353,-48.4374,28.580
164.4166,-48.4230,31.775,164.3353,-48.4374,28.580,164.4226,-48.3608,29.827,164.4974,-48.4081,35.163,164.4112,-48.4856,33.530
164.4907,-48.4690,37.622,164.4112,-48.4856,33.530,164.4974,-48.4081,35.163,164.5698,-48.4521,41.886,164.4843,-48.5305,39.908
164.5620,-48.5119,44.715,164.4843,-48.5305,39.908,164.5698,-48.4521,41.886,164.6393,-48.4930,49.644,164.5545,-48.5722,47.423
164.6306,-48.5520,52.726,164.5545,-48.5722,47.423,164.6393,-48.4930,49.644,164.7063,-48.5316,58.101,164.6222,-48.6113,55.734
164.6970,-48.5900,61.350,164.6222,-48.6113,55.734,164.7063,-48.5316,58.101,164.7716,-48.5686,67.006,164.6879,-48.6486,64.560
164.7620,-48.6267,70.368,164.6879,-48.6486,64.560,164.7716,-48.5686,67.006,164.8361,-48.6048,76.190,164.7526,-48.6849,73.717
164.8267,-48.6628,79.629,164.7526,-48.6849,73.717,164.8361,-48.6048,76.190,164.9007,-48.6407,85.537,164.8174,-48.7209,83.073
164.8918,-48.6988,89.023,164.8174,-48.7209,83.073,164.9007,-48.6407,85.537,164.9659,-48.6767,94.957,164.8832,-48.7571,92.527
164.9577,-48.7352,98.440,164.8832,-48.7571,92.527,164.9659,-48.6767,94.957,165.0314,-48.7130,104.315,164.9503,-48.7939,101.960
165.0235,-48.7716,107.738,164.9503,-48.7939,101.960,165.0314,-48.7130,104.315,165.0956,-48.7489,113.530,165.0167,-48.8307,111.148
165.0878,-48.8076,116.954,165.0167,-48.8307,111.148,165.0956,-48.7489,113.530,165.1580,-48.7839,122.830,165.0809,-48.8668,120.308
