lon,lat,dep,Mw,strike1,dip1,rake1,strike2,dip2,rake2
167.2369,-45.1347,54.0000,4.200,71.0000,84.0000,-133.0000,334.0000,43.0000,-10.0000
176.9743,-39.8093,27.0000,4.300,34.0000,87.0000,118.0000,129.0000,28.0000,6.0000
178.6559,-38.4226,20.0000,4.300,45.0000,49.0000,-65.0000,190.0000,47.0000,-116.0000
176.1393,-40.6080,33.0000,4.100,178.0000,77.0000,-46.0000,281.0000,45.0000,-161.0000
173.5492,-41.2165,81.0000,4.500,342.0000,70.0000,142.0000,86.0000,55.0000,25.0000
174.6354,-40.3691,84.0000,4.300,168.0000,63.0000,110.0000,309.0000,33.0000,56.0000
177.6317,-38.9566,30.0000,4.000,53.0000,53.0000,-102.0000,253.0000,39.0000,-74.0000
176.3383,-38.1936,180.0000,4.300,43.0000,75.0000,151.0000,141.0000,62.0000,17.0000
167.3207,-45.2141,81.0000,4.000,229.0000,57.0000,-85.0000,39.0000,34.0000,-98.0000
176.1999,-38.7280,93.0000,4.700,117.0000,87.0000,63.0000,22.0000,27.0000,174.0000
172.8816,-42.1608,66.0000,5.500,274.0000,84.0000,-68.0000,18.0000,22.0000,-165.0000
176.1546,-37.8426,285.0000,4.500,142.0000,61.0000,134.0000,258.0000,51.0000,39.0000
172.9037,-42.2016,60.0000,4.300,293.0000,50.0000,-59.0000,70.0000,49.0000,-121.0000
176.4238,-38.2942,189.0000,4.400,72.0000,68.0000,101.0000,226.0000,24.0000,66.0000
167.1030,-44.8912,22.0000,3.700,31.0000,77.0000,127.0000,138.0000,39.0000,21.0000
167.1464,-44.8269,18.0000,4.500,193.0000,59.0000,66.0000,54.0000,39.0000,125.0000
167.2994,-44.7285,27.0000,6.100,219.0000,54.0000,113.0000,4.0000,42.0000,62.0000
167.2820,-44.7677,22.0000,4.600,211.0000,60.0000,107.0000,359.0000,34.0000,63.0000
167.2414,-44.6978,24.0000,4.900,157.0000,58.0000,44.0000,40.0000,54.0000,139.0000
167.2574,-45.0639,120.0000,5.200,199.0000,63.0000,59.0000,71.0000,40.0000,135.0000
178.5370,-38.8901,24.0000,6.700,224.0000,51.0000,-109.0000,73.0000,43.0000,-68.0000
178.3713,-38.8158,33.0000,4.400,242.0000,73.0000,-79.0000,28.0000,21.0000,-122.0000
175.6729,-38.9533,105.0000,4.700,344.0000,87.0000,-43.0000,77.0000,47.0000,-176.0000
167.0792,-44.9488,24.0000,3.700,127.0000,75.0000,22.0000,31.0000,68.0000,163.0000
178.7402,-39.3035,22.0000,4.200,351.0000,73.0000,-110.0000,223.0000,26.0000,-41.0000
167.0335,-44.9531,21.0000,4.200,201.0000,81.0000,72.0000,85.0000,20.0000,153.0000
175.2471,-38.8983,153.0000,4.300,83.0000,81.0000,-166.0000,350.0000,76.0000,-9.0000
173.7862,-40.6990,87.0000,4.200,308.0000,88.0000,136.0000,40.0000,46.0000,2.0000
174.5820,-39.2876,237.0000,4.700,274.0000,78.0000,-15.0000,7.0000,76.0000,-167.0000
167.3658,-44.6756,20.0000,3.800,184.0000,80.0000,112.0000,298.0000,24.0000,26.0000
167.4621,-45.0112,84.0000,4.100,272.0000,62.0000,101.0000,69.0000,30.0000,70.0000
176.0947,-38.3591,144.0000,4.500,225.0000,80.0000,-151.0000,130.0000,62.0000,-11.0000
178.2868,-36.3256,150.0000,4.600,295.0000,66.0000,-132.0000,180.0000,47.0000,-34.0000
177.1949,-39.6025,33.0000,4.100,35.0000,60.0000,87.0000,221.0000,30.0000,95.0000
177.4722,-38.2553,66.0000,4.200,10.0000,78.0000,130.0000,113.0000,41.0000,18.0000
177.6596,-38.2671,75.0000,4.100,360.0000,66.0000,-97.0000,196.0000,25.0000,-75.0000
166.8045,-45.7906,114.0000,5.100,334.0000,76.0000,-24.0000,70.0000,66.0000,-164.0000
176.9178,-38.1961,99.0000,3.900,312.0000,76.0000,55.0000,203.0000,38.0000,156.0000
176.9815,-39.8517,36.0000,4.300,222.0000,67.0000,145.0000,328.0000,58.0000,27.0000
174.3600,-39.6449,126.0000,4.900,256.0000,75.0000,-130.0000,149.0000,43.0000,-22.0000
177.1611,-39.2569,33.0000,4.200,180.0000,85.0000,-131.0000,85.0000,42.0000,-7.0000
178.4704,-38.6139,39.0000,4.100,350.0000,69.0000,90.0000,170.0000,21.0000,90.0000
175.8936,-39.1053,90.0000,5.200,133.0000,79.0000,28.0000,37.0000,62.0000,168.0000
174.5282,-40.2834,84.0000,4.600,241.0000,67.0000,-105.0000,95.0000,28.0000,-59.0000
176.2417,-37.9954,192.0000,4.400,267.0000,54.0000,-47.0000,29.0000,54.0000,-134.0000
177.3797,-38.2230,57.0000,4.200,252.0000,73.0000,-53.0000,3.0000,40.0000,-153.0000
167.0322,-45.0570,30.0000,3.900,147.0000,86.0000,18.0000,55.0000,72.0000,175.0000
176.0299,-38.1466,219.0000,4.700,141.0000,61.0000,72.0000,354.0000,33.0000,119.0000
167.3111,-45.1725,111.0000,4.200,277.0000,60.0000,73.0000,129.0000,34.0000,118.0000
