lon,lat, dep, mag, year, slat, slon, sdep, dproj
177.0000, -40.0000, 25.0000, 6.4600, 1931, 176.5582, -39.5560, 24.9707,0.6270
176.0000, -41.0000, 25.0000, 5.5000, 1931, 175.6291, -40.5317, 24.9742,0.5979
178.3000, -40.0000, 25.0000, 4.5000, 1940, 177.1796, -38.9579, 24.9483,1.5310
179.0000, -38.5000, 25.0000, 4.5000, 1940, 178.1685, -37.9380, 24.9766,1.0039
177.7000, -39.5000, 25.0000, 4.5000, 1940, 177.1448, -38.9947, 24.9756,0.7511
178.2000, -39.1000, 40.0000, 4.6900, 1940, 177.3898, -38.2658, 39.9886,1.1630
180.0000, -37.0000, 25.0000, 4.8000, 1940, 179.3335, -36.5477, 24.9268,0.8088
180.0000, -37.0000, 25.0000, 4.7000, 1940, 179.3335, -36.5477, 24.9268,0.8088
176.2000, -41.5000, 25.0000, 4.7000, 1941, 175.5343, -40.6058, 24.9504,1.1159
176.0000, -41.0000, 25.0000, 4.5000, 1941, 175.6291, -40.5317, 24.9742,0.5979
178.3000, -38.7000, 25.0000, 3.7000, 1942, 177.8769, -38.2454, 24.9951,0.6210
178.8032, -38.8455, 15.0000, 7.0500, 1947, 178.2801, -38.3653, 14.9662,0.7109
175.6800, -41.2000, 27.0000, 4.1450, 1950, 175.3155, -40.6992, 26.9645,0.6205
180.2670, -35.2950, 30.0000, 5.9800, 1953, 180.0106, -35.1531, 30.0050,-0.2931
180.4360, -35.3470, 25.0000, 6.1800, 1956, 180.1167, -35.1718, 25.0021,-0.3642
180.5130, -35.6970, 20.0000, 5.7300, 1957, 180.1001, -35.4779, 19.9745,0.4681
180.5530, -36.1490, 25.0000, 5.8400, 1958, 179.8185, -35.7485, 24.9665,0.8373
178.0600, -38.4100, 39.0000, 3.7280, 1964, 177.6737, -38.0168, 38.9826,0.5514
178.1100, -38.7400, 32.3000, 5.6000, 1966, 177.6505, -38.2161, 32.2792,0.6972
175.0800, -41.6500, 35.8000, 5.1900, 1968, 174.4408, -41.1023, 35.8033,-0.8418
177.9500, -38.6200, 37.0000, 3.6730, 1970, 177.5531, -38.1824, 36.9980,0.5909
176.9000, -39.6900, 32.6000, 5.1050, 1973, 176.5425, -39.2865, 32.5937,0.5391
177.1000, -39.0600, 40.0000, 3.1930, 1976, 176.8607, -38.8145, 40.0079,-0.3429
177.4900, -39.2600, 34.6000, 5.1540, 1976, 177.0127, -38.7989, 34.5808,0.6640
177.3900, -39.2200, 38.7000, 5.1140, 1976, 176.9383, -38.7707, 38.7030,-0.6371
177.9700, -38.9900, 28.0000, 3.7620, 1978, 177.4932, -38.4909, 27.9871,0.6904
177.3700, -39.8600, 22.0000, 3.6820, 1978, 176.9238, -39.3519, 21.9731,0.6768
175.8480, -41.4170, 29.3000, 3.2520, 1979, 175.2850, -40.6437, 29.2850,0.9566
177.4000, -39.3500, 30.0000, 4.7820, 1979, 177.0130, -38.9355, 29.9915,0.5672
176.8700, -39.7200, 30.0000, 5.7000, 1980, 176.5280, -39.3851, 29.9838,0.4790
180.1880, -35.3460, 30.0000, 5.9380, 1980, 179.9677, -35.2376, 29.9989,0.2455
177.9000, -38.8700, 27.0000, 3.2690, 1981, 177.5323, -38.4876, 27.0009,-0.5305
174.8600, -41.6900, 30.0000, 3.3440, 1981, 174.4833, -41.3106, 29.9784,0.5351
178.8400, -37.6900, 38.0000, 3.3290, 1981, 178.3969, -37.2043, 37.9723,0.6580
176.4400, -40.6300, 30.4000, 5.4000, 1981, 175.8686, -40.1011, 30.3718,0.7791
176.7500, -40.0100, 27.0000, 3.1170, 1982, 176.3484, -39.6937, 27.0016,-0.5112
175.3270, -41.2990, 30.5000, 3.2010, 1982, 174.9714, -40.8329, 30.4889,0.5864
177.7600, -39.0400, 30.0000, 4.8740, 1982, 177.2916, -38.6307, 29.9826,0.6223
175.7700, -40.8600, 31.0000, 3.7480, 1982, 175.4558, -40.4609, 31.0000,0.5079
180.8910, -35.3720, 35.0000, 5.4960, 1983, 180.0164, -34.9464, 34.9893,0.9727
176.1100, -40.8800, 28.0000, 3.2860, 1983, 175.6902, -40.3694, 27.9759,0.6615
177.8300, -38.9100, 38.0000, 3.5070, 1983, 177.2940, -38.4061, 37.9766,0.7361
173.7900, -42.4700, 30.0000, 3.6790, 1983, 173.4789, -42.1334, 30.0034,-0.4583
177.1400, -39.7700, 30.0000, 3.0100, 1983, 176.6603, -39.2604, 29.9794,0.7001
174.7590, -41.9330, 33.7000, 3.3030, 1983, 174.2584, -41.3765, 33.6843,0.7487
178.9100, -38.7600, 18.0000, 3.3290, 1983, 178.2631, -38.1955, 17.9788,0.8588
178.5000, -38.5800, 27.0000, 4.2930, 1983, 177.9881, -38.0654, 26.9845,0.7260
174.5640, -42.0260, 29.0000, 3.5070, 1984, 174.2287, -41.5747, 28.9724,0.5629
179.3500, -37.8200, 25.0000, 3.6430, 1984, 178.7667, -37.2276, 24.9699,0.8319
177.6200, -39.3000, 29.0000, 3.3850, 1984, 177.1275, -38.8506, 28.9870,0.6668
176.9200, -39.6300, 30.0000, 4.0560, 1984, 176.6105, -39.3064, 29.9881,0.4480
175.9460, -40.9040, 26.3000, 3.0000, 1984, 175.6147, -40.4939, 26.2725,0.5280
176.7900, -40.5300, 36.0000, 3.2270, 1984, 175.9536, -39.7970, 35.9830,1.1123
179.2200, -37.5400, 27.0000, 4.6980, 1984, 178.7748, -37.1476, 26.9839,0.5936
175.7600, -40.9100, 28.0000, 3.6970, 1984, 175.4706, -40.5463, 27.9873,0.4650
176.4100, -40.5000, 32.0000, 3.5660, 1984, 175.8958, -40.0080, 31.9763,0.7120
177.8600, -38.8600, 32.0000, 3.7450, 1985, 177.4205, -38.4371, 31.9765,0.6104
176.3200, -41.0400, 26.0000, 3.0790, 1985, 175.7534, -40.3919, 25.9735,0.8612
174.2200, -42.3900, 36.0000, 3.7320, 1985, 173.6806, -41.7710, 35.9780,0.8213
179.7300, -37.6900, 35.0000, 6.3000, 1985, 178.7859, -36.8648, 34.9800,1.2541
177.5200, -39.0500, 31.0000, 3.1810, 1985, 177.1604, -38.7447, 30.9872,0.4719
174.6700, -41.6500, 31.0000, 3.5280, 1985, 174.3818, -41.3668, 30.9840,0.4044
174.6220, -41.6500, 33.7000, 3.1500, 1985, 174.3003, -41.3367, 33.6856,0.4493
178.5400, -39.0600, 25.0000, 3.2420, 1985, 177.8314, -38.2876, 24.9640,1.0488
177.0200, -39.8200, 28.0000, 3.6200, 1985, 176.6044, -39.3824, 27.9985,0.6035
178.3000, -38.6200, 26.0000, 3.3440, 1985, 177.8927, -38.1949, 25.9770,0.5892
177.1600, -39.5100, 27.0000, 3.1250, 1985, 176.8651, -39.1840, 26.9792,0.4400
178.7800, -37.7100, 32.0000, 3.5330, 1986, 178.4212, -37.3360, 31.9964,0.5183
176.3100, -40.8700, 37.0000, 3.4050, 1986, 175.6065, -40.1327, 36.9783,1.0193
178.8100, -37.7600, 28.0000, 3.8740, 1986, 178.4781, -37.3987, 27.9772,0.4911
178.7800, -38.2100, 36.0000, 3.3850, 1986, 178.0030, -37.6843, 35.9907,0.9382
174.5900, -41.8100, 29.0000, 3.3720, 1986, 174.3405, -41.4859, 28.9833,0.4094
175.5260, -40.9680, 29.5000, 3.3030, 1986, 175.2795, -40.6414, 29.4845,0.4095
174.5440, -41.7080, 32.7000, 3.0480, 1986, 174.2578, -41.4132, 32.6965,0.4109
175.3530, -41.2440, 29.8000, 3.0480, 1986, 175.0317, -40.8119, 29.7943,0.5386
177.1800, -39.4700, 29.0000, 3.0990, 1986, 176.8537, -39.1212, 28.9946,0.4776
177.2100, -39.6500, 28.0000, 3.3540, 1986, 176.8176, -39.1890, 27.9900,0.6055
176.3500, -40.9500, 31.0000, 3.2520, 1986, 175.7057, -40.2448, 30.9776,0.9555
174.4390, -42.2684, 33.5900, 3.6960, 1987, 173.9583, -41.6214, 33.5787,0.8061
177.4263, -38.7317, 40.0100, 3.2110, 1987, 177.1450, -38.5172, 40.0120,-0.3537
177.8642, -39.5067, 25.5500, 3.2160, 1987, 177.2100, -38.8981, 25.5062,0.8946
179.0129, -37.5055, 28.0300, 3.4260, 1987, 178.7025, -37.1876, 28.0348,-0.4443
174.7895, -41.6215, 29.8000, 3.0500, 1987, 174.4822, -41.3207, 29.7873,0.4302
177.9514, -38.6262, 38.2600, 3.3840, 1987, 177.5238, -38.1796, 38.2655,-0.6183
174.1577, -41.8833, 34.9600, 3.0760, 1987, 173.9450, -41.5893, 34.9707,-0.3630
177.2907, -39.5574, 30.0500, 3.1210, 1987, 176.8663, -39.0744, 30.0495,0.6430
179.1744, -37.0705, 32.5000, 5.7000, 1987, 178.8866, -36.8275, 32.4887,0.3769
177.6800, -39.3754, 23.0200, 3.1460, 1987, 177.2178, -39.0117, 23.0092,0.5882
177.6194, -39.3921, 24.6100, 3.3460, 1987, 177.1875, -38.9666, 24.5761,0.6072
177.5504, -39.1317, 28.0500, 3.2340, 1987, 177.1935, -38.8120, 28.0346,0.4793
179.9269, -36.1159, 37.2100, 3.7350, 1987, 179.4814, -35.8838, 37.1871,0.5028
174.6881, -42.0721, 34.4200, 3.5340, 1987, 174.1590, -41.4390, 34.3884,0.8257
177.9933, -38.8465, 35.2800, 3.2440, 1987, 177.4815, -38.2916, 35.2466,0.7556
177.8160, -38.6992, 32.0900, 3.4870, 1987, 177.5044, -38.3544, 32.0749,0.4650
176.8837, -39.6374, 28.1000, 3.1290, 1987, 176.6134, -39.3707, 28.0860,0.3800
178.2970, -38.5155, 31.4800, 3.0740, 1988, 177.8361, -38.0644, 31.4640,0.6451
178.9697, -37.7128, 23.1600, 3.4590, 1988, 178.6635, -37.3895, 23.1391,0.4458
176.2389, -40.3238, 38.3100, 3.6450, 1988, 175.7657, -39.9241, 38.2991,0.6195
177.2985, -39.7418, 23.9400, 3.1000, 1988, 176.9013, -39.2789, 23.9106,0.6106
178.7390, -39.1292, 26.9500, 4.0460, 1988, 177.8571, -38.1945, 26.9097,1.2857
177.9424, -38.6421, 26.5800, 3.0130, 1988, 177.6804, -38.3659, 26.5618,0.3811
176.4707, -40.9765, 31.9200, 3.1180, 1988, 175.7195, -40.1983, 31.8806,1.0823
176.6726, -39.9868, 28.7700, 4.8840, 1988, 176.3317, -39.6391, 28.7419,0.4878
