lon,lat,dep,rate
181.0912,-35.3372,25.308,0.0001070664
180.9875,-35.2908,25.844,0.0001070664
180.8844,-35.2460,26.536,0.0001070664
180.7823,-35.2031,27.544,0.0001070664
180.6811,-35.1623,28.884,0.0001070664
180.5814,-35.1235,30.735,0.0001070664
180.4834,-35.0862,33.149,0.0001070664
180.3875,-35.0496,36.246,0.0001070664
180.2940,-35.0133,40.066,0.0001070664
180.2030,-34.9770,44.561,0.0001070664
180.1145,-34.9406,49.683,0.0001070664
180.0285,-34.9043,55.301,0.0001070664
179.9446,-34.8684,61.341,0.0001070664
179.8628,-34.8330,67.696,0.0001070664
179.7831,-34.7983,74.329,0.0001070664
179.7053,-34.7642,81.189,0.0001070664
179.6295,-34.7309,88.266,0.0001070664
179.5556,-34.6983,95.537,0.0001070664
181.0301,-35.4230,25.290,0.0001070664
180.9267,-35.3766,25.770,0.0001070664
180.8243,-35.3317,26.418,0.0001070664
180.7229,-35.2888,27.324,0.0001070664
180.6227,-35.2480,28.554,0.0001070664
180.5242,-35.2093,30.274,0.0001070664
180.4274,-35.1722,32.548,0.0001070664
180.3328,-35.1358,35.521,0.0001070664
180.2404,-35.0997,39.229,0.0001070664
180.1504,-35.0636,43.642,0.0001070664
180.0628,-35.0274,48.698,0.0001070664
179.9773,-34.9914,54.271,0.0001070664
179.8940,-34.9557,60.262,0.0001070664
179.8127,-34.9206,66.577,0.0001070664
179.7333,-34.8862,73.146,0.0001070664
179.6559,-34.8525,79.966,0.0001070664
179.5805,-34.8196,86.982,0.0001070664
179.5071,-34.7875,94.220,0.0001070664
179.4359,-34.7559,101.712,0.0001070664
179.3662,-34.7250,109.330,0.0001070664
179.2984,-34.6946,117.161,0.0001070664
179.2322,-34.6647,125.151,0.0001070664
179.1672,-34.6354,133.246,0.0001070664
179.1038,-34.6064,141.481,0.0001070664
179.0415,-34.5780,149.798,0.0001070664
178.9803,-34.5499,158.181,0.0001070664
178.9203,-34.5222,166.634,0.0001070664
178.8612,-34.4949,175.122,0.0001070664
178.8030,-34.4679,183.626,0.0001070664
178.7458,-34.4413,192.135,0.0001070664
178.6894,-34.4150,200.621,0.0001070664
178.6338,-34.3891,209.054,0.0001070664
178.5791,-34.3635,217.403,0.0001070664
178.5253,-34.3382,225.629,0.0001070664
180.9681,-35.5092,25.344,0.0001070664
180.8649,-35.4630,25.848,0.0001070664
180.7629,-35.4182,26.547,0.0001070664
180.6621,-35.3755,27.499,0.0001070664
180.5629,-35.3347,28.795,0.0001070664
180.4658,-35.2958,30.565,0.0001070664
180.3706,-35.2584,32.899,0.0001070664
180.2778,-35.2216,35.910,0.0001070664
180.1870,-35.1851,39.624,0.0001070664
180.0985,-35.1487,44.031,0.0001070664
180.0120,-35.1123,49.045,0.0001070664
179.9274,-35.0763,54.565,0.0001070664
179.8449,-35.0407,60.488,0.0001070664
179.7641,-35.0058,66.729,0.0001070664
179.6853,-34.9716,73.222,0.0001070664
179.6086,-34.9383,79.972,0.0001070664
179.5336,-34.9058,86.917,0.0001070664
179.4608,-34.8740,94.108,0.0001070664
179.3901,-34.8429,101.555,0.0001070664
179.3208,-34.8124,109.145,0.0001070664
179.2535,-34.7823,116.973,0.0001070664
179.1875,-34.7529,124.959,0.0001070664
179.1229,-34.7239,133.074,0.0001070664
179.0598,-34.6952,141.360,0.0001070664
178.9976,-34.6671,149.716,0.0001070664
178.9365,-34.6394,158.177,0.0001070664
178.8768,-34.6119,166.756,0.0001070664
178.8175,-34.5849,175.358,0.0001070664
178.7594,-34.5582,184.023,0.0001070664
178.7024,-34.5317,192.762,0.0001070664
178.6457,-34.5057,201.496,0.0001070664
178.5900,-34.4799,210.224,0.0001070664
178.5355,-34.4544,218.939,0.0001070664
178.4815,-34.4294,227.604,0.0001070664
178.4282,-34.4047,236.194,0.0001070664
181.0095,-35.6425,24.752,0.0001070664
180.9054,-35.5955,25.324,0.0001070664
180.8020,-35.5496,25.857,0.0001070664
180.6997,-35.5053,26.601,0.0001070664
180.5988,-35.4630,27.627,0.0001070664
180.4998,-35.4226,29.021,0.0001070664
180.4029,-35.3839,30.898,0.0001070664
180.3085,-35.3463,33.357,0.0001070664
180.2167,-35.3092,36.492,0.0001070664
180.1271,-35.2723,40.318,0.0001070664
180.0400,-35.2353,44.815,0.0001070664
179.9549,-35.1985,49.888,0.0001070664
179.8717,-35.1621,55.438,0.0001070664
179.7906,-35.1262,61.372,0.0001070664
179.7112,-35.0911,67.603,0.0001070664
179.6340,-35.0568,74.104,0.0001070664
179.5584,-35.0235,80.834,0.0001070664
179.4852,-34.9908,87.803,0.0001070664
179.4136,-34.9591,95.000,0.0001070664
179.3437,-34.9280,102.417,0.0001070664
179.2758,-34.8974,110.048,0.0001070664
179.2087,-34.8677,117.865,0.0001070664
179.1436,-34.8382,125.857,0.0001070664
179.0796,-34.8093,134.000,0.0001070664
179.0164,-34.7810,142.276,0.0001070664
178.9546,-34.7529,150.654,0.0001070664
178.8938,-34.7253,159.153,0.0001070664
178.8338,-34.6981,167.763,0.0001070664
178.7746,-34.6712,176.420,0.0001070664
178.7164,-34.6446,185.171,0.0001070664
178.6591,-34.6183,194.017,0.0001070664
178.6022,-34.5924,202.890,0.0001070664
178.5462,-34.5668,211.804,0.0001070664
178.4914,-34.5414,220.766,0.0001070664
178.4369,-34.5166,229.761,0.0001070664
178.3833,-34.4921,238.808,0.0001070664
180.9473,-35.7286,24.757,0.0001070664
180.8430,-35.6818,25.264,0.0001070664
180.7393,-35.6362,25.825,0.0001070664
180.6366,-35.5924,26.622,0.0001070664
180.5353,-35.5506,27.713,0.0001070664
180.4359,-35.5107,29.192,0.0001070664
180.3385,-35.4725,31.169,0.0001070664
180.2437,-35.4352,33.752,0.0001070664
180.1515,-35.3982,37.008,0.0001070664
180.0620,-35.3612,40.956,0.0001070664
179.9750,-35.3241,45.551,0.0001070664
179.8903,-35.2871,50.697,0.0001070664
179.8079,-35.2504,56.302,0.0001070664
179.7275,-35.2144,62.262,0.0001070664
179.6494,-35.1791,68.514,0.0001070664
179.5732,-35.1447,75.030,0.0001070664
179.4991,-35.1112,81.786,0.0001070664
179.4273,-35.0783,88.792,0.0001070664
