lon,lat,dep,rate
165.1980,-47.9695,56.212,0.0003329865
165.2666,-48.0086,64.905,0.0003329865
165.3334,-48.0465,73.786,0.0003329865
165.3986,-48.0834,82.795,0.0003329865
165.4620,-48.1193,91.911,0.0003329865
165.5237,-48.1542,101.141,0.0003329865
165.5835,-48.1880,110.500,0.0003329865
165.6415,-48.2208,120.003,0.0003329865
165.6978,-48.2525,129.660,0.0003329865
165.7524,-48.2833,139.454,0.0003329865
164.7071,-47.5475,17.666,0.0003329865
164.8027,-47.6052,19.963,0.0003329865
164.8927,-47.6602,23.513,0.0003329865
164.9783,-47.7123,28.478,0.0003329865
165.0601,-47.7611,34.736,0.0003329865
165.1381,-47.8069,41.970,0.0003329865
165.2127,-47.8500,49.857,0.0003329865
165.2845,-47.8912,58.163,0.0003329865
165.3539,-47.9308,66.739,0.0003329865
165.4212,-47.9691,75.502,0.0003329865
165.4864,-48.0062,84.417,0.0003329865
165.5494,-48.0420,93.479,0.0003329865
165.6101,-48.0765,102.701,0.0003329865
165.6685,-48.1096,112.104,0.0003329865
165.7247,-48.1414,121.691,0.0003329865
165.7793,-48.1722,131.452,0.0003329865
165.8323,-48.2021,141.312,0.0003329865
164.6923,-47.4103,16.644,0.0003329865
164.7939,-47.4702,18.492,0.0003329865
164.8883,-47.5273,21.172,0.0003329865
164.9780,-47.5819,25.117,0.0003329865
165.0639,-47.6337,30.371,0.0003329865
165.1462,-47.6826,36.756,0.0003329865
165.2250,-47.7287,43.974,0.0003329865
165.3006,-47.7724,51.754,0.0003329865
165.3733,-47.8142,59.913,0.0003329865
165.4433,-47.8543,68.345,0.0003329865
165.5107,-47.8928,76.998,0.0003329865
165.5753,-47.9297,85.858,0.0003329865
165.6371,-47.9650,94.924,0.0003329865
165.6961,-47.9986,104.211,0.0003329865
165.7525,-48.0308,113.725,0.0003329865
165.8069,-48.0616,123.440,0.0003329865
165.8597,-48.0914,133.323,0.0003329865
165.9111,-48.1204,143.219,0.0003329865
164.7814,-47.3337,17.467,0.0003329865
164.8803,-47.3927,19.514,0.0003329865
164.9742,-47.4495,22.574,0.0003329865
165.0642,-47.5039,26.838,0.0003329865
165.1509,-47.5558,32.268,0.0003329865
165.2342,-47.6050,38.658,0.0003329865
165.3142,-47.6516,45.759,0.0003329865
165.3908,-47.6960,53.366,0.0003329865
165.4640,-47.7383,61.355,0.0003329865
165.5339,-47.7786,69.664,0.0003329865
165.6004,-47.8169,78.267,0.0003329865
165.6635,-47.8531,87.152,0.0003329865
165.7233,-47.8874,96.311,0.0003329865
165.7801,-47.9199,105.742,0.0003329865
165.8344,-47.9508,115.416,0.0003329865
165.8869,-47.9805,125.276,0.0003329865
165.9381,-48.0094,135.277,0.0003329865
165.9880,-48.0376,145.157,0.0003329865
164.8689,-47.2566,18.315,0.0003329865
164.9666,-47.3151,20.665,0.0003329865
165.0606,-47.3717,24.040,0.0003329865
165.1515,-47.4262,28.505,0.0003329865
165.2393,-47.4784,33.975,0.0003329865
165.3239,-47.5282,40.258,0.0003329865
165.4048,-47.5755,47.166,0.0003329865
165.4819,-47.6204,54.578,0.0003329865
165.5549,-47.6629,62.429,0.0003329865
165.6238,-47.7028,70.692,0.0003329865
165.6885,-47.7403,79.341,0.0003329865
165.7493,-47.7754,88.345,0.0003329865
165.8065,-47.8082,97.676,0.0003329865
165.8608,-47.8392,107.303,0.0003329865
165.9131,-47.8689,117.151,0.0003329865
165.9639,-47.8977,127.144,0.0003329865
166.0136,-47.9259,137.245,0.0003329865
166.0624,-47.9534,147.054,0.0003329865
164.8533,-47.1190,17.328,0.0003329865
164.9560,-47.1793,19.238,0.0003329865
165.0536,-47.2377,21.884,0.0003329865
165.1484,-47.2944,25.486,0.0003329865
165.2404,-47.3492,30.037,0.0003329865
165.3295,-47.4020,35.432,0.0003329865
165.4151,-47.4524,41.531,0.0003329865
165.4965,-47.5002,48.232,0.0003329865
165.5732,-47.5452,55.492,0.0003329865
165.6451,-47.5873,63.301,0.0003329865
165.7120,-47.6264,71.630,0.0003329865
165.7742,-47.6625,80.424,0.0003329865
165.8321,-47.6960,89.619,0.0003329865
165.8865,-47.7273,99.169,0.0003329865
165.9384,-47.7569,109.007,0.0003329865
165.9889,-47.7855,119.014,0.0003329865
166.0383,-47.8135,129.119,0.0003329865
166.0870,-47.8410,139.303,0.0003329865
164.9428,-47.0427,18.145,0.0003329865
165.0438,-47.1024,20.243,0.0003329865
165.1418,-47.1608,23.130,0.0003329865
165.2376,-47.2177,26.872,0.0003329865
165.3310,-47.2730,31.418,0.0003329865
165.4211,-47.3263,36.673,0.0003329865
165.5072,-47.3772,42.572,0.0003329865
165.5882,-47.4251,49.114,0.0003329865
165.6636,-47.4698,56.329,0.0003329865
165.7334,-47.5110,64.217,0.0003329865
165.7978,-47.5488,72.714,0.0003329865
165.8572,-47.5833,81.717,0.0003329865
165.9122,-47.6152,91.132,0.0003329865
165.9640,-47.6449,100.905,0.0003329865
166.0139,-47.6733,110.932,0.0003329865
166.0628,-47.7010,121.068,0.0003329865
166.1111,-47.7284,131.266,0.0003329865
166.1588,-47.7554,141.511,0.0003329865
164.9278,-46.9052,17.095,0.0003329865
165.0314,-46.9660,18.975,0.0003329865
165.1319,-47.0256,21.301,0.0003329865
165.2306,-47.0841,24.377,0.0003329865
165.3275,-47.1414,28.187,0.0003329865
165.4219,-47.1971,32.669,0.0003329865
165.5127,-47.2508,37.773,0.0003329865
165.5984,-47.3018,43.522,0.0003329865
165.6781,-47.3495,50.006,0.0003329865
165.7517,-47.3934,57.297,0.0003329865
165.8192,-47.4334,65.361,0.0003329865
165.8809,-47.4696,74.077,0.0003329865
165.9375,-47.5026,83.299,0.0003329865
165.9899,-47.5330,92.921,0.0003329865
166.0395,-47.5613,102.881,0.0003329865
166.0877,-47.5888,113.047,0.0003329865
166.1355,-47.6158,123.281,0.0003329865
166.1828,-47.6427,133.548,0.0003329865
166.2297,-47.6693,143.816,0.0003329865
165.0169,-46.8287,17.927,0.0003329865
165.1194,-46.8892,19.843,0.0003329865
165.2201,-46.9487,22.398,0.0003329865
165.3195,-47.0074,25.627,0.0003329865
165.4173,-47.0650,29.475,0.0003329865
165.5123,-47.1210,33.887,0.0003329865
165.6029,-47.1748,38.883,0.0003329865
165.6875,-47.2256,44.578,0.0003329865
165.7656,-47.2726,51.127,0.0003329865
165.8371,-47.3155,58.590,0.0003329865
165.9022,-47.3542,66.878,0.0003329865
165.9615,-47.3891,75.812,0.0003329865
166.0157,-47.4207,85.229,0.0003329865
166.0660,-47.4497,95.027,0.0003329865
166.1139,-47.4771,105.126,0.0003329865
166.1609,-47.5038,115.386,0.0003329865
166.2076,-47.5304,125.690,0.0003329865
166.2542,-47.5568,136.010,0.0003329865
166.3004,-47.5830,146.219,0.0003329865
165.1052,-46.7520,18.626,0.0003329865
165.2070,-46.8122,20.753,0.0003329865
165.3080,-46.8717,23.523,0.0003329865
165.4080,-46.9305,26.888,0.0003329865
165.5063,-46.9883,30.776,0.0003329865
165.6012,-47.0444,35.163,0.0003329865
165.6909,-47.0979,40.134,0.0003329865
165.7739,-47.1482,45.888,0.0003329865
165.8501,-47.1943,52.603,0.0003329865
165.9196,-47.2361,60.294,0.0003329865
165.9826,-47.2735,68.809,0.0003329865
166.0399,-47.3072,77.940,0.0003329865
166.0922,-47.3377,87.522,0.0003329865
166.1409,-47.3658,97.460,0.0003329865
166.1876,-47.3925,107.659,0.0003329865
166.2337,-47.4187,117.982,0.0003329865
166.2796,-47.4448,128.338,0.0003329865
166.3255,-47.4709,138.695,0.0003329865
165.0901,-46.6143,17.320,0.0003329865
165.1928,-46.6750,19.301,0.0003329865
165.2943,-46.7350,21.673,0.0003329865
165.3954,-46.7945,24.649,0.0003329865
165.4955,-46.8533,28.149,0.0003329865
165.5938,-46.9110,32.104,0.0003329865
165.6880,-46.9668,36.531,0.0003329865
165.7762,-47.0199,41.585,0.0003329865
165.8575,-47.0693,47.504,0.0003329865
165.9318,-47.1144,54.455,0.0003329865
165.9993,-47.1550,62.395,0.0003329865
166.0605,-47.1913,71.124,0.0003329865
166.1159,-47.2240,80.424,0.0003329865
166.1668,-47.2536,90.146,0.0003329865
166.2143,-47.2810,100.197,0.0003329865
166.2603,-47.3073,110.467,0.0003329865
166.3058,-47.3332,120.830,0.0003329865
166.3513,-47.3591,131.226,0.0003329865
166.3966,-47.3849,141.593,0.0003329865
165.1781,-46.5375,17.897,0.0003329865
165.2800,-46.5979,19.956,0.0003329865
165.3813,-46.6577,22.558,0.0003329865
165.4822,-46.7171,25.730,0.0003329865
165.5821,-46.7757,29.374,0.0003329865
165.6796,-46.8331,33.437,0.0003329865
165.7724,-46.8884,37.982,0.0003329865
165.8588,-46.9406,43.220,0.0003329865
165.9381,-46.9890,49.399,0.0003329865
166.0105,-47.0329,56.634,0.0003329865
166.0762,-47.0724,64.827,0.0003329865
166.1356,-47.1076,73.753,0.0003329865
166.1896,-47.1393,83.203,0.0003329865
166.2393,-47.1683,93.048,0.0003329865
166.2861,-47.1953,103.191,0.0003329865
166.3317,-47.2213,113.510,0.0003329865
166.3770,-47.2472,123.901,0.0003329865
166.4221,-47.2729,134.321,0.0003329865
166.4672,-47.2986,144.663,0.0003329865
165.2659,-46.4606,18.354,0.0003329865
165.3672,-46.5207,20.552,0.0003329865
165.4680,-46.5803,23.359,0.0003329865
165.5684,-46.6394,26.711,0.0003329865
165.6676,-46.6976,30.512,0.0003329865
165.7638,-46.7545,34.735,0.0003329865
165.8547,-46.8089,39.483,0.0003329865
165.9388,-46.8601,44.995,0.0003329865
166.0160,-46.9072,51.503,0.0003329865
166.0864,-46.9499,59.052,0.0003329865
166.1502,-46.9881,67.495,0.0003329865
166.2080,-47.0224,76.603,0.0003329865
166.2607,-47.0533,86.187,0.0003329865
166.3095,-47.0816,96.141,0.0003329865
166.3559,-47.1084,106.357,0.0003329865
166.4015,-47.1344,116.707,0.0003329865
166.4467,-47.1603,127.110,0.0003329865
166.4919,-47.1861,137.534,0.0003329865
166.5369,-47.2118,147.812,0.0003329865
165.3534,-46.3835,18.688,0.0003329865
165.4541,-46.4434,21.043,0.0003329865
165.5543,-46.5027,24.027,0.0003329865
165.6539,-46.5614,27.550,0.0003329865
165.7518,-46.6191,31.528,0.0003329865
165.8460,-46.6751,35.968,0.0003329865
165.9346,-46.7285,41.005,0.0003329865
166.0164,-46.7783,46.869,0.0003329865
166.0913,-46.8240,53.743,0.0003329865
166.1596,-46.8653,61.609,0.0003329865
166.2216,-46.9023,70.285,0.0003329865
166.2779,-46.9356,79.553,0.0003329865
166.3294,-46.9658,89.254,0.0003329865
166.3775,-46.9938,99.296,0.0003329865
166.4239,-47.0204,109.561,0.0003329865
166.4696,-47.0466,119.919,0.0003329865
166.5152,-47.0727,130.310,0.0003329865
166.5606,-47.0987,140.714,0.0003329865
165.3374,-46.2453,16.624,0.0003329865
165.4405,-46.3062,18.880,0.0003329865
165.5406,-46.3658,21.386,0.0003329865
165.6400,-46.4248,24.529,0.0003329865
165.7383,-46.4830,28.227,0.0003329865
165.8343,-46.5399,32.422,0.0003329865
165.9262,-46.5948,37.144,0.0003329865
166.0122,-46.6468,42.542,0.0003329865
166.0916,-46.6952,48.811,0.0003329865
166.1643,-46.7395,56.059,0.0003329865
166.2307,-46.7794,64.214,0.0003329865
166.2910,-46.8154,73.088,0.0003329865
166.3459,-46.8478,82.483,0.0003329865
166.3965,-46.8775,92.274,0.0003329865
166.4442,-46.9051,102.379,0.0003329865
166.4907,-46.9319,112.661,0.0003329865
166.5369,-46.9583,122.996,0.0003329865
166.5828,-46.9847,133.354,0.0003329865
166.6285,-47.0109,143.720,0.0003329865
165.5268,-46.2285,18.875,0.0003329865
165.6263,-46.2879,21.541,0.0003329865
165.7246,-46.3464,24.851,0.0003329865
165.8212,-46.4039,28.754,0.0003329865
165.9149,-46.4597,33.221,0.0003329865
166.0041,-46.5134,38.297,0.0003329865
166.0876,-46.5640,44.110,0.0003329865
166.1647,-46.6109,50.798,0.0003329865
166.2354,-46.6537,58.395,0.0003329865
166.3000,-46.6925,66.795,0.0003329865
166.3589,-46.7276,75.821,0.0003329865
166.4129,-46.7594,85.304,0.0003329865
166.4629,-46.7887,95.153,0.0003329865
166.5106,-46.8163,105.287,0.0003329865
166.5575,-46.8432,115.550,0.0003329865
166.6040,-46.8700,125.838,0.0003329865
166.6503,-46.8966,136.149,0.0003329865
166.6962,-46.9230,146.471,0.0003329865
165.5091,-46.0897,16.065,0.0003329865
165.6121,-46.1504,18.602,0.0003329865
165.7108,-46.2094,21.441,0.0003329865
165.8074,-46.2673,24.943,0.0003329865
165.9019,-46.3238,29.105,0.0003329865
165.9930,-46.3784,33.917,0.0003329865
166.0796,-46.4306,39.412,0.0003329865
166.1606,-46.4797,45.667,0.0003329865
166.2356,-46.5252,52.753,0.0003329865
166.3047,-46.5668,60.649,0.0003329865
166.3679,-46.6047,69.240,0.0003329865
166.4259,-46.6391,78.369,0.0003329865
166.4793,-46.6706,87.898,0.0003329865
166.5292,-46.6998,97.769,0.0003329865
166.5772,-46.7276,107.892,0.0003329865
166.6245,-46.7548,118.105,0.0003329865
166.6714,-46.7818,128.335,0.0003329865
166.7178,-46.8086,138.598,0.0003329865
165.5943,-46.0116,15.357,0.0003329865
165.6974,-46.0722,18.035,0.0003329865
165.7948,-46.1308,21.000,0.0003329865
165.8890,-46.1876,24.684,0.0003329865
165.9805,-46.2428,29.175,0.0003329865
166.0687,-46.2959,34.436,0.0003329865
166.1525,-46.3464,40.424,0.0003329865
166.2313,-46.3940,47.137,0.0003329865
166.3044,-46.4381,54.589,0.0003329865
166.3721,-46.4788,62.735,0.0003329865
166.4345,-46.5160,71.468,0.0003329865
166.4921,-46.5501,80.661,0.0003329865
